"Problem","Package","File","Line","Priority","Description","Rule set","Rule"
"11","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","44","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"12","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","53","Avoid excessively long variable names like m_chkPermissibleValues","Naming Rules","LongVariable"
"13","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","59","Avoid excessively long variable names like m_radioConceptCode","Naming Rules","LongVariable"
"14","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","66","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"15","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","133","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","171","Avoid excessively long variable names like searchTargetStatus","Naming Rules","LongVariable"
"17","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","256","Avoid variables with short names like ie","Naming Rules","ShortVariable"
"18","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","256","Avoid variables with short names like ie","Naming Rules","ShortVariable"
"19","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","256","Parameter 'ie' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"20","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","259","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"21","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","262","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"22","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","278","Avoid unused local variables such as 'control'","Unused Code Rules","UnusedLocalVariable"
"23","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","278","Avoid unused local variables such as 'control'","Unused Code Rules","UnusedLocalVariable"
"24","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","278","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"25","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractCategorySearchPanel.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"26","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractCategorySearchPanel.java","3","23","Perhaps 'm_searchPanel' could be replaced by a local variable.","Controversial Rules","SingularField"
"27","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractCategorySearchPanel.java","3","33","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"28","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractCategorySearchPanel.java","3","46","Parameter 'addLimitPanel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"29","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","4","2","Avoid unused imports such as 'java.awt.Color'","Import Statement Rules","UnusedImports"
"30","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","4","2","Avoid unused imports such as 'java.awt.Color'","Import Statement Rules","UnusedImports"
"31","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","4","12","Avoid unused imports such as 'javax.swing.JOptionPane'","Import Statement Rules","UnusedImports"
"32","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","4","12","Avoid unused imports such as 'javax.swing.JOptionPane'","Import Statement Rules","UnusedImports"
"33","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","49","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"34","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","49","Private field 'm_addLimitPanel' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"35","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","55","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"36","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","57","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"37","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","60","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"38","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","63","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"39","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","69","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"40","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","82","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"41","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","109","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"42","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","110","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"43","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","164","Avoid unused method parameters such as 'resultPanel'","Unused Code Rules","UnusedFormalParameter"
"44","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","164","Avoid unused method parameters such as 'resultPanel'","Unused Code Rules","UnusedFormalParameter"
"45","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","164","Parameter 'resultPanel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"46","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","170","Avoid unused method parameters such as 'errorPanel'","Unused Code Rules","UnusedFormalParameter"
"47","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","170","Avoid unused method parameters such as 'errorPanel'","Unused Code Rules","UnusedFormalParameter"
"48","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","170","Parameter 'errorPanel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"49","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","183","Parameter 'resultPanel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"50","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","199","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"51","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","201","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"52","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","206","Avoid variables with short names like ae","Naming Rules","ShortVariable"
"53","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","206","Avoid variables with short names like ae","Naming Rules","ShortVariable"
"54","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","206","Parameter 'ae' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"55","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","214","Avoid excessively long variable names like searchTargetStatus","Naming Rules","LongVariable"
"56","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","217","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"57","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchPanel.java","3","278","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"58","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","4","15","Avoid unused imports such as 'org.jdesktop.swingx.JXErrorDialog'","Import Statement Rules","UnusedImports"
"59","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","4","15","Avoid unused imports such as 'org.jdesktop.swingx.JXErrorDialog'","Import Statement Rules","UnusedImports"
"60","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","4","35","Avoid unused imports such as 'edu.wustl.cab2b.common.errorcodes.ErrorCodeHandler'","Import Statement Rules","UnusedImports"
"61","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","4","35","Avoid unused imports such as 'edu.wustl.cab2b.common.errorcodes.ErrorCodeHandler'","Import Statement Rules","UnusedImports"
"62","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","58","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"63","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","58","Perhaps 'm_resultsPage' could be replaced by a local variable.","Controversial Rules","SingularField"
"64","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","61","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"65","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","74","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"66","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","90","Parameter 'result' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"67","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","99","Avoid excessively long variable names like pageElementCollection","Naming Rules","LongVariable"
"68","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","99","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"69","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","99","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"70","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","99","Use ArrayList instead of Vector","Optimization Rules","UseArrayListInsteadOfVector"
"71","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","99","Use ArrayList instead of Vector","Optimization Rules","UseArrayListInsteadOfVector"
"72","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","100","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"73","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","105","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"74","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","110","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"75","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","112","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"76","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","118","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"77","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","148","Parameter 'actionEvent' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"78","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","157","System.arrayCopy is more efficient","Optimization Rules","AvoidArrayLoops"
"79","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","157","System.arrayCopy is more efficient","Optimization Rules","AvoidArrayLoops"
"80","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","217","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"81","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","232","System.arrayCopy is more efficient","Optimization Rules","AvoidArrayLoops"
"82","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","232","System.arrayCopy is more efficient","Optimization Rules","AvoidArrayLoops"
"83","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","254","Parameter 'componentPanel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"84","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","254","Parameter 'entity' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"85","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","278","The String literal 'Error' appears 5 times in this file; the first occurrence is on line 278","String and StringBuffer Rules","AvoidDuplicateLiterals"
"86","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","278","The String literal 'Error' appears 5 times in this file; the first occurrence is on line 278","String and StringBuffer Rules","AvoidDuplicateLiterals"
"87","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","281","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"88","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","281","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"89","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","281","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"90","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","281","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"91","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","308","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"92","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","324","Parameter 'attributeName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"93","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","367","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"94","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","381","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"95","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractSearchResultPanel.java","3","426","A high number of imports can indicate a high degree of coupling within an object.","Coupling Rules","ExcessiveImports"
"96","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitAdvancedSearchPanel.java","4","3","Avoid unused imports such as 'java.awt.BorderLayout'","Import Statement Rules","UnusedImports"
"97","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitAdvancedSearchPanel.java","4","3","Avoid unused imports such as 'java.awt.BorderLayout'","Import Statement Rules","UnusedImports"
"98","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitAdvancedSearchPanel.java","4","5","Avoid unused imports such as 'java.awt.Dimension'","Import Statement Rules","UnusedImports"
"99","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitAdvancedSearchPanel.java","4","5","Avoid unused imports such as 'java.awt.Dimension'","Import Statement Rules","UnusedImports"
"100","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitAdvancedSearchPanel.java","4","6","Avoid unused imports such as 'java.awt.GridLayout'","Import Statement Rules","UnusedImports"
"101","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitAdvancedSearchPanel.java","4","6","Avoid unused imports such as 'java.awt.GridLayout'","Import Statement Rules","UnusedImports"
"102","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitAdvancedSearchPanel.java","4","10","Avoid unused imports such as 'edu.wustl.cab2b.client.ui.controls.Cab2bLabel'","Import Statement Rules","UnusedImports"
"103","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitAdvancedSearchPanel.java","4","10","Avoid unused imports such as 'edu.wustl.cab2b.client.ui.controls.Cab2bLabel'","Import Statement Rules","UnusedImports"
"104","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitAdvancedSearchPanel.java","4","11","Avoid unused imports such as 'edu.wustl.cab2b.client.ui.controls.Cab2bPanel'","Import Statement Rules","UnusedImports"
"105","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitAdvancedSearchPanel.java","4","11","Avoid unused imports such as 'edu.wustl.cab2b.client.ui.controls.Cab2bPanel'","Import Statement Rules","UnusedImports"
"106","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitCategorySearchPanel.java","4","3","Avoid unused imports such as 'java.awt.BorderLayout'","Import Statement Rules","UnusedImports"
"107","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitCategorySearchPanel.java","4","3","Avoid unused imports such as 'java.awt.BorderLayout'","Import Statement Rules","UnusedImports"
"108","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitCategorySearchPanel.java","4","4","Avoid unused imports such as 'org.jdesktop.swingx.JXPanel'","Import Statement Rules","UnusedImports"
"109","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitCategorySearchPanel.java","4","4","Avoid unused imports such as 'org.jdesktop.swingx.JXPanel'","Import Statement Rules","UnusedImports"
"110","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitCategorySearchPanel.java","3","42","Parameter 'addLimitPanel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"111","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","4","31","Avoid unused imports such as 'edu.wustl.cab2b.common.ejb.path.PathFinderBusinessInterface'","Import Statement Rules","UnusedImports"
"112","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","4","31","Avoid unused imports such as 'edu.wustl.cab2b.common.ejb.path.PathFinderBusinessInterface'","Import Statement Rules","UnusedImports"
"113","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","4","32","Avoid unused imports such as 'edu.wustl.cab2b.common.ejb.path.PathFinderHomeInterface'","Import Statement Rules","UnusedImports"
"114","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","4","32","Avoid unused imports such as 'edu.wustl.cab2b.common.ejb.path.PathFinderHomeInterface'","Import Statement Rules","UnusedImports"
"115","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","53","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"116","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","55","Avoid excessively long variable names like m_searchResultPanel","Naming Rules","LongVariable"
"117","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","55","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"118","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","55","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"119","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","58","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"120","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","58","Perhaps 'm_scrollPane' could be replaced by a local variable.","Controversial Rules","SingularField"
"121","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","61","Avoid excessively long variable names like m_ContentForTopPanel","Naming Rules","LongVariable"
"122","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","61","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"123","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","64","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"124","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","64","Perhaps 'categSearchPanel' could be replaced by a local variable.","Controversial Rules","SingularField"
"125","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","67","Avoid excessively long variable names like m_bottomCenterPanel","Naming Rules","LongVariable"
"126","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","67","Perhaps 'm_bottomCenterPanel' could be replaced by a local variable.","Controversial Rules","SingularField"
"127","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","70","Avoid excessively long variable names like m_contentForBottomCenterPanel","Naming Rules","LongVariable"
"128","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","73","Perhaps 'm_innerPane' could be replaced by a local variable.","Controversial Rules","SingularField"
"129","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","76","Perhaps 'm_outerPane' could be replaced by a local variable.","Controversial Rules","SingularField"
"130","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","78","Avoid excessively long variable names like m_currentExpressionEdit","Naming Rules","LongVariable"
"131","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","84","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"132","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","118","Avoid variables with short names like gp","Naming Rules","ShortVariable"
"133","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AddLimitPanel.java","3","118","Avoid variables with short names like gp","Naming Rules","ShortVariable"
